joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.4124503955472174,0.0891309377194942,0.3760922766286552,0.0,0.08316218871302761,0.0008546893913930619,0.0,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,36.23,2143.8488,0.0,0.46454040210013653,0.09167531199862156,0.41200923594740413,0.0,0.08418751890080872,0.003398594609360808,0.0,0.0,1.1699854303961165e-05,0.0011699854303961164,0.88954,0.4178329784665684,41.78329784665684,0.0,0.08243951961306031,8.243951961306031,0.11046,0.37072191586034264,37.072191586034265,0.0,0.0,0.0,0.0,0.07524248595952246,7.524248595952246,0.0,0.002909370204261478,0.29093702042614783,0.0,0.0003835327057624921,0.03835327057624921
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.4124423142485716,0.09251295776704122,0.38158725942637706,0.0,0.07413948024359596,0.001008476314201353,0.0,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,34.72,2256.8924,0.0,0.46420582295556734,0.09452854346922489,0.417872958411117,0.0,0.07524015656074654,0.0037070799437442428,0.0,0.0,0.00012247354800986752,0.012247354800986753,0.8624,0.4172905293385336,41.72905293385336,0.0,0.08481580636668953,8.481580636668953,0.1376,0.37577100884603243,37.57710088460324,0.0,0.0,0.0,0.0,0.06777133858940462,6.777133858940462,0.0,0.003843988510806314,0.3843988510806314,0.0,0.00033639656156833375,0.03363965615683338
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.4222125667133454,0.07669116853125885,0.4163507801806666,0.0,0.04552926807200948,0.0009067045025069013,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,31.44,2080.7738,0.0,0.47315944652351355,0.0770873162012905,0.4543228566469279,0.0,0.046434826722786315,0.004000171343443944,0.0,0.0,3.0926119997927077e-05,0.0030926119997927077,0.67186,0.4251983121689005,42.519831216890054,0.0,0.0690579893422536,6.90579893422536,0.32814,0.40810333996982817,40.81033399698282,0.0,0.00021756597248151347,0.021756597248151346,0.0,0.04189354301506441,4.189354301506441,0.0,0.0037808268734112567,0.37808268734112566,0.0,0.0,0.0
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.37457148568299337,0.08381177097145372,0.35280319354840783,0.0,0.14981326730179786,0.0006907704951345637,0.0,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,46.06,2293.3597,0.0,0.42550443316144326,0.08718431476252338,0.39016337847367766,0.0,0.15212050829224358,0.002303576192621927,0.0,0.0,0.0002453825732509679,0.02453825732509679,0.7969,0.3816876185625611,38.16876185625611,0.0,0.07850806901799723,7.850806901799723,0.2031,0.3498051455320087,34.98051455320087,0.0,0.0003602634500010029,0.03602634500010029,0.0,0.13631968198958422,13.631968198958422,0.0,0.0017519604662922265,0.17519604662922264,0.0,0.00020389468109119748,0.02038946810911975
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.3975811178070472,0.07793592795781318,0.3730537601456072,0.0,0.1120966602955149,0.0010230217938046722,0.0,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,40.66,2231.3978,0.0,0.4489019899424391,0.08015842145737972,0.40996416733459534,0.0,0.11449994096188168,0.0030608054728257818,0.0,0.0,0.00037632166836475296,0.03763216683647529,0.8198,0.4033119612595909,40.33119612595909,0.0,0.07191064324717761,7.191064324717761,0.1802,0.3682817255307429,36.82817255307429,0.0,0.0,0.0,0.0,0.10280657695439545,10.280657695439546,0.0,0.0027806130533118353,0.27806130533118356,0.0,0.0,0.0
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.0,0.42107400259514816,0.11456231102330633,0.4005580691849945,0.0,0.02410027289380087,0.0013958323025375793,0.0,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,26.04,1986.2087,0.0,0.47026093586293055,0.1178526207076131,0.4345772527697688,0.0,0.025053487609408513,0.005395832400919788,0.0004259505980196039,0.0,0.0,0.0,0.80026,0.4225664167923397,42.25664167923397,0.0,0.10551127944061156,10.551127944061156,0.19974,0.3905450391734391,39.05450391734391,0.0,8.416292298536174e-05,0.008416292298536174,0.0,0.022345079895881817,2.234507989588182,0.0,0.004863870786301269,0.4863870786301269,0.0,0.00018963329641640925,0.018963329641640925
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.38115155366044706,0.10147576008056372,0.3534226060485892,0.0,0.12386284167346255,0.0017777265367247088,0.0,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,42.9,2843.327,0.0,0.4318823306625743,0.10644583484399778,0.38945629504029655,0.0,0.12556275351713383,0.003526367717471425,0.0,0.0,7.448950068178315e-05,0.007448950068178316,0.84054,0.38806875857018247,38.80687585701825,0.0,0.09576455018556451,9.576455018556452,0.15946,0.34974911529295105,34.974911529295106,0.0,0.0,0.0,0.0,0.11262009300320666,11.262009300320667,0.0,0.0031423117929404603,0.31423117929404604,0.0,0.0,0.0
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.0,0.4384989586882435,0.08555736227842628,0.3872310181330164,0.0,0.049194496896762155,0.0012086520033390412,0.0,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,28.67,2058.5922,0.0,0.490693438189037,0.08746565600716354,0.419901292867318,0.0,0.05053076820884214,0.005108998677014578,0.00032255704698427694,0.0,3.485673716701251e-05,0.003485673716701251,0.9535,0.44201806097341456,44.20180609734145,0.0,0.07862249718673327,7.8622497186733264,0.0465,0.3778775205314874,37.787752053148736,0.0,9.836158102787263e-06,0.0009836158102787262,0.0,0.0455082827763318,4.5508282776331805,0.0,0.004275740496876057,0.4275740496876057,0.0,0.00013227776432369768,0.013227776432369769
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.42261435493151644,0.08351867326191678,0.4325405036293899,0.0,0.021966645368104512,0.001050310808859313,0.0,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,25.91,1632.3935,0.0,0.47119003967355766,0.08302074233035114,0.4701364524856088,0.0,0.02363682747631767,0.005164740897512196,0.0005502868051257704,0.0,0.00013291280419227145,0.013291280419227145,0.50618,0.42281771566874077,42.28177156687408,0.0,0.07465358017856871,7.465358017856872,0.49382,0.42190852067711615,42.19085206771162,0.0,3.4728305349554815e-05,0.0034728305349554815,0.0,0.02114529494426745,2.114529494426745,0.0,0.004577666689818349,0.45776666898183493,0.0,0.0005210630195057374,0.05210630195057374
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.0,0.42657513632377964,0.09446630083839377,0.43489709171252133,0.0,0.004564527010154695,0.001187432114937802,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,18.79,2532.8711,0.0,0.47197984624096745,0.09309684531107318,0.46743298850578624,0.0,0.00840166996237669,0.008065606182008049,0.003296870148058184,0.0,0.0,0.0,0.54138,0.4231379986099788,42.31379986099788,0.0,0.08350066216834331,8.350066216834332,0.45862,0.4187781186160518,41.87781186160518,0.0,0.0002127439317839712,0.02127439317839712,0.0,0.007534437626489005,0.7534437626489006,0.0,0.00711477538500616,0.711477538500616,0.0,0.0032182822876213255,0.3218282287621326
