joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.3570757631678887,0.16960433380139553,0.13920800706313496,0.13293730510671098,0.029674133767467914,0.014012983411072879,0.007353566708111443,0.0,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.39058453749598493,0.1834213825897474,0.1467204134352591,0.14068551029526633,0.03235985465210975,0.025010367416960277,0.017112178784592542,0.006595218381160509,1.0,0.40321457086473683,40.321457086473686,0.0,0.18880323177791203,18.880323177791205,0.0,0.15110838656638248,15.110838656638247,0.0,0.1452561192593602,14.525611925936019,0.0,0.03314295638790639,3.314295638790639,0.0,0.025320732141077343,2.5320732141077342,0.0,0.01761503017354138,1.761503017354138,0.0,0.007340007096241448,0.7340007096241448
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.3412822810673369,0.16827448597394248,0.1380775274168512,0.15047021863712934,0.0316017037363712,0.013321801856633054,0.006838074337518053,0.0,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.372958102401851,0.18187752038149754,0.14546221613686466,0.16001464509379296,0.03423644024667748,0.02444750683670291,0.01671995877743164,0.006773073176262481,0.99984,0.38447244838543426,38.447244838543426,0.00014,0.18712499085583234,18.712499085583232,0.0,0.14974701985860595,14.974701985860595,2e-05,0.1649731184516494,16.497311845164937,0.0,0.035209126726930454,3.5209126726930453,0.0,0.025547427849006196,2.5547427849006197,0.0,0.01792590109545247,1.792590109545247,0.0,0.007449532332028604,0.7449532332028604
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.30711227450587175,0.16503217506277562,0.1300769120775941,0.20889946737334525,0.022735203255367598,0.0114107480447559,0.004599312706071992,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.3357095882506772,0.17845779983136997,0.13687865764485432,0.22418772477087898,0.024701960533804475,0.022116020397746697,0.01402439499370664,0.006413316628042422,0.98278,0.34436514734422874,34.43651473442287,0.001,0.18332493291034466,18.332493291034467,2e-05,0.14044127119230732,14.044127119230732,0.0162,0.22994222046918933,22.99422204691893,0.0,0.025678543204682453,2.5678543204682454,0.0,0.02301556475482839,2.301556475482839,0.0,0.014638383133167373,1.4638383133167372,0.0,0.006272339225304241,0.6272339225304241
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.2924265330899826,0.16650171524592383,0.1283494188728923,0.21436204466817962,0.031966010978932605,0.011719442113264771,0.004540928056606357,0.0,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.31907598584415203,0.17989396512869857,0.1352370046814149,0.23063986038663534,0.034457612835762264,0.02246118434024407,0.014091709256238538,0.006632140577934924,0.95224,0.32869617003706914,32.869617003706914,0.00238,0.18479200318781658,18.479200318781658,0.00016,0.1394703783902886,13.94703783902886,0.04522,0.23709383208834028,23.70938320883403,0.0,0.03593230775488079,3.5932307754880792,0.0,0.023118105741152584,2.3118105741152584,0.0,0.014177110392329769,1.4177110392329768,0.0,0.007126230973125813,0.7126230973125813
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.31793425073261883,0.17355251571192518,0.13454932291144933,0.17794513549465235,0.02547192178506441,0.014164321884026023,0.006248624506046252,0.0,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.3471336139630147,0.1867113656755789,0.14156823612626177,0.18875507786933468,0.02811789125832414,0.025964158342674556,0.016770558388701118,0.0074685614271910485,0.99722,0.357949932053641,35.7949932053641,0.00112,0.1920718093909206,19.207180939092062,6e-05,0.14555205106978286,14.555205106978287,0.0016,0.19419683265190887,19.419683265190887,0.0,0.029001539381052537,2.9001539381052535,0.0,0.027044828410777502,2.70448284107775,0.0,0.017393383350940345,1.7393383350940343,0.0,0.007584726449149384,0.7584726449149384
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.3099887026363854,0.16456788210722348,0.1394027869118392,0.1687634693618541,0.04780412826067858,0.01159605017563865,0.007743073572162983,0.0,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.33893602647179333,0.17900272475084825,0.14715946463622467,0.181532556088843,0.05194818213363057,0.021325102205245625,0.016595376742885717,0.0059900300216097005,0.99732,0.3500217864418368,35.00217864418368,0.00118,0.18464707501470948,18.464707501470947,0.00016,0.15164413366727153,15.164413366727153,0.00134,0.18718469036249502,18.718469036249502,0.0,0.05362336343231514,5.362336343231514,0.0,0.021876824037466738,2.1876824037466736,0.0,0.01722656500315943,1.722656500315943,0.0,0.006036485767867168,0.6036485767867168
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.31210758228411095,0.1705904833507913,0.14175752106539496,0.15812726416502976,0.04503314567908629,0.013260093483334156,0.008990002998034851,0.0,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.34047104822406116,0.1844186414240427,0.14939020668449643,0.16810673943361618,0.04934078533904901,0.024375843411434214,0.019139698926641482,0.007246499607739591,0.99806,0.35232210492360355,35.23221049236035,0.00142,0.19053395185247873,19.053395185247872,0.00018,0.15456161260919332,15.456161260919332,0.00034,0.1737012061817017,17.37012061817017,0.0,0.05097268337889645,5.097268337889645,0.0,0.025255912177819202,2.5255912177819204,0.0,0.0198092767927101,1.98092767927101,0.0,0.00724824098098511,0.724824098098511
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.35922861235967624,0.17575127473281008,0.134748367284384,0.129186662697296,0.026696382524761697,0.015463562310873237,0.00879123111598114,0.0,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.3948251555362519,0.189880898607907,0.14243810335807364,0.13542477657807267,0.029390046343566123,0.026110699560522227,0.018214684983717408,0.0062050980829698975,0.99996,0.40735011692453493,40.73501169245349,4e-05,0.19573479424748047,19.573479424748047,0.0,0.14645355949160743,14.645355949160743,0.0,0.13927559966507147,13.927559966507147,0.0,0.030370173855712973,3.037017385571297,0.0,0.027060488162104643,2.706048816210464,0.0,0.018492269890096728,1.8492269890096729,0.0,0.006315410069369429,0.6315410069369429
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.28729920623171773,0.16539036737588897,0.12971981772588248,0.2184767470349652,0.03267640560518354,0.01033881802360786,0.0059647310285366635,0.0,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.31116286210716704,0.17862191908951075,0.13587161911833612,0.23599187992163745,0.035668945105463465,0.021652890788235957,0.01614858261484592,0.007370764305884216,0.9233,0.3209864446626547,32.09864446626547,0.00214,0.18371937183517634,18.371937183517634,0.00016,0.14013411743527027,14.013411743527026,0.0744,0.24305599889581903,24.305599889581902,0.0,0.036818650774633685,3.6818650774633683,0.0,0.022284597014010903,2.2284597014010905,0.0,0.016706045971684465,1.6706045971684464,0.0,0.00766461110739498,0.766461110739498
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.3101055064306205,0.16612189225925053,0.13067971125649752,0.19616715959610567,0.029260910080897096,0.011653616394584548,0.005877297007826224,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.3390016038252189,0.1797300637212429,0.13767028964738048,0.21060655536521647,0.03163521894737491,0.022230869370759798,0.015243431478431213,0.006371430695455954,0.99178,0.3490589335762829,34.905893357628294,0.00108,0.18442064909999245,18.442064909999246,6e-05,0.14184909432054238,14.184909432054237,0.00708,0.2163415606031554,21.63415606031554,0.0,0.03288296354412758,3.2882963544127577,0.0,0.022905029485204904,2.2905029485204906,0.0,0.015577176227847357,1.5577176227847358,0.0,0.006936282561915332,0.6936282561915332
